CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_t+1h,CO(GT)_t+6h,CO(GT)_t+12h,CO(GT)_t+24h,CO(GT)_t-1h,CO(GT)_t-2h,CO(GT)_t-3h,CO(GT)_roll_mean_3h,CO(GT)_roll_std_3h,CO(GT)_roll_mean_6h,CO(GT)_roll_std_6h,CO(GT)_roll_mean_12h,CO(GT)_roll_std_12h,weekday,month,hour,weekday_sin,weekday_cos,hour_sin,hour_cos
2.7,1334.0,11.9,1047.0,129.0,815.0,106.0,1638.0,1038.0,15.9,42.0,0.7541,2.4,1.0,3.1,2.7,2.2,2.1,1.6,2.3333333333333335,0.3214550253664263,2.1166666666666667,0.3656045222185885,3.0500000000000003,1.0492421507493372,1,3,19,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203
2.4,1264.0,8.7,928.0,132.0,884.0,102.0,1534.0,1035.0,15.9,43.5,0.779,1.3,0.9,4.1,2.3,2.7,2.2,2.1,2.4333333333333336,0.2516611478423497,2.15,0.3834057902536363,2.9166666666666665,1.018763362061471,1,3,20,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
1.3,1073.0,4.7,746.0,73.0,1072.0,84.0,1360.0,789.0,15.0,46.1,0.7833,1.2,0.5,2.2,1.5,2.4,2.7,2.2,2.1333333333333333,0.7371114795831982,2.0500000000000003,0.5167204273105683,2.6750000000000003,1.03055589588603,1,3,21,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474
1.2,1053.0,3.8,701.0,68.0,1147.0,81.0,1323.0,692.0,15.1,44.6,0.7574,1.5,0.5,1.7,1.4,1.3,2.4,2.7,1.6333333333333335,0.6658328118479414,1.9833333333333336,0.6047037842338046,2.3833333333333333,0.891202796361427,1,3,22,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
1.5,1098.0,4.7,747.0,80.0,1094.0,91.0,1360.0,764.0,14.9,43.5,0.7302,1.3,0.6,1.9,1.2,1.2,1.3,2.4,1.3333333333333333,0.1527525231652134,1.8833333333333335,0.6306081720582795,2.183333333333333,0.7825753908884722,1,3,23,0.7818314824680298,0.6234898018587336,-0.2588190451025215,0.965925826289068
1.3,1029.0,3.8,702.0,68.0,1180.0,82.0,1287.0,639.0,14.8,41.0,0.685,1.0,1.0,2.9,1.6,1.5,1.2,1.3,1.3333333333333333,0.1527525231652134,1.7333333333333334,0.6470445631227312,1.9833333333333332,0.6562058065927665,2,3,0,0.9749279121818236,-0.2225209339563143,0.0,1.0
1.0,973.0,2.7,631.0,44.0,1287.0,64.0,1240.0,541.0,14.8,40.8,0.6814,0.9,3.1,2.2,1.2,1.3,1.5,1.2,1.2666666666666666,0.2516611478423709,1.4500000000000002,0.4929503017546718,1.7833333333333332,0.5407626488804909,2,3,1,0.9749279121818236,-0.2225209339563143,0.2588190451025207,0.9659258262890684
0.9,972.0,2.8,639.0,47.0,1222.0,70.0,1256.0,678.0,14.8,40.8,0.6834,0.5,4.1,2.6,1.1,1.0,1.3,1.5,1.0666666666666669,0.2081665999466329,1.2,0.2190890230021226,1.6749999999999998,0.5785954780956466,2,3,2,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387
0.5,832.0,1.0,496.0,47.0,1613.0,70.0,1066.0,381.0,14.2,36.1,0.5823,0.5,2.2,3.1,0.9,0.9,1.0,1.3,0.7999999999999999,0.2645751311064791,1.0666666666666669,0.3502380143084023,1.558333333333333,0.6639528095680716,2,3,3,0.9749279121818236,-0.2225209339563143,0.7071067811865475,0.7071067811865476
0.5,851.0,0.8,477.0,15.0,1699.0,26.0,1064.0,343.0,14.5,36.1,0.5928,0.6,1.7,2.3,0.7,0.5,0.9,1.0,0.6333333333333333,0.2309401076758765,0.95,0.4086563348340842,1.4666666666666666,0.7302967433402232,2,3,4,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001
0.6,909.0,1.5,545.0,44.0,1473.0,58.0,1131.0,436.0,14.6,36.0,0.5947,1.0,1.9,2.4,0.9,0.5,0.5,0.9,0.5333333333333333,0.0577350269190756,0.7999999999999999,0.3224903099319864,1.3416666666666666,0.7403418538797216,2,3,5,0.9749279121818236,-0.2225209339563143,0.9659258262890684,0.2588190451025207
1.0,1038.0,3.5,684.0,85.0,1220.0,93.0,1279.0,688.0,14.4,38.5,0.6291,3.1,2.9,2.8,1.7,0.6,0.5,0.5,0.7000000000000001,0.2645751311064808,0.75,0.2428991560298825,1.2416666666666665,0.693421468757159,2,3,6,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17
3.1,1636.0,15.6,1168.0,207.0,721.0,110.0,1926.0,1438.0,13.8,58.2,0.9129,4.1,2.2,2.7,4.2,1.0,0.6,0.5,1.5666666666666669,1.3428824718989136,1.1,1.001998003990041,1.2749999999999997,0.7747433592663283,2,3,7,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206
4.1,1580.0,19.9,1295.0,230.0,639.0,115.0,1957.0,1489.0,13.2,61.1,0.9256,2.2,2.6,2.3,6.2,3.1,1.0,0.6,2.733333333333333,1.5821925715074394,1.6333333333333335,1.566737587047265,1.4166666666666667,1.090315495069148,2,3,8,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998
2.2,1262.0,8.6,924.0,181.0,872.0,125.0,1576.0,1093.0,10.4,74.4,0.9384,1.7,3.1,1.5,4.6,4.1,3.1,1.0,3.1333333333333333,0.95043849529221,1.9166666666666667,1.4716204220744844,1.4916666666666665,1.112293562732866,2,3,9,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475
1.7,1197.0,6.5,837.0,144.0,957.0,118.0,1498.0,965.0,11.5,71.0,0.9582,1.9,2.3,1.4,2.8,2.2,4.1,3.1,2.6666666666666665,1.2662279942148351,2.1166666666666667,1.313646324802335,1.5333333333333332,1.109736523466338,2,3,10,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387
1.9,1277.0,7.7,886.0,140.0,902.0,109.0,1579.0,1004.0,12.2,70.0,0.9924,2.9,2.4,1.2,1.6,1.7,2.2,4.1,1.9333333333333331,0.2516611478423586,2.3333333333333335,1.1039323650779878,1.5666666666666669,1.1146408580454266,2,3,11,0.9749279121818236,-0.2225209339563143,0.258819045102521,-0.9659258262890682
2.9,1430.0,11.3,1025.0,204.0,779.0,123.0,1772.0,1166.0,12.3,73.3,1.0442,2.2,2.8,1.6,1.7,1.9,1.7,2.2,2.1666666666666665,0.6429100507328619,2.65,0.8983317872590337,1.7,1.1739598878078503,2,3,12,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0
2.2,1242.0,9.1,944.0,149.0,846.0,114.0,1638.0,991.0,11.3,78.1,1.0411,2.6,2.7,1.2,1.7,2.9,1.9,1.7,2.3333333333333335,0.5131601439446845,2.5,0.883176086632791,1.7999999999999998,1.1599373023808437,2,3,13,0.9749279121818236,-0.2225209339563143,-0.2588190451025208,-0.9659258262890684
2.6,1349.0,11.2,1023.0,171.0,804.0,114.0,1748.0,1054.0,13.6,69.2,1.0746,3.1,2.3,1.1,1.7,2.2,2.9,1.9,2.566666666666667,0.351188458428415,2.25,0.4415880433164078,1.9416666666666669,1.1437246436997257,2,3,14,0.9749279121818236,-0.2225209339563143,-0.4999999999999998,-0.8660254037844388
3.1,1390.0,13.5,1100.0,195.0,755.0,119.0,1799.0,1192.0,14.9,59.3,0.9974,2.3,1.5,0.9,1.9,2.6,2.2,2.9,2.6333333333333333,0.4509249752822811,2.4,0.5585696017507688,2.158333333333333,1.0908364874829986,2,3,15,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479
2.3,1224.0,10.1,980.0,152.0,850.0,111.0,1637.0,1055.0,15.7,50.9,0.8997,2.4,1.4,0.7,2.3,3.1,2.6,2.2,2.6666666666666665,0.4041451884327285,2.5,0.4516635916254614,2.308333333333333,0.9577040094397504,2,3,16,0.9749279121818236,-0.2225209339563143,-0.8660254037844384,-0.5000000000000004
2.4,1253.0,11.3,1026.0,128.0,810.0,103.0,1681.0,1048.0,15.2,52.9,0.9087,2.8,1.2,0.9,3.3,2.3,3.1,2.6,2.6,0.4358898943540593,2.5833333333333335,0.3544949458972264,2.4583333333333335,0.7925314256268106,2,3,17,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,-0.2588190451025206
2.8,1312.0,11.8,1041.0,121.0,821.0,103.0,1712.0,1073.0,15.5,50.8,0.8881,2.7,1.6,1.7,4.2,2.4,2.3,3.1,2.5,0.2645751311064477,2.566666666666667,0.338624669312024,2.608333333333333,0.6487166818676222,2,3,18,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16
2.7,1254.0,11.5,1033.0,142.0,819.0,107.0,1669.0,1068.0,14.3,52.9,0.8581,2.3,1.2,4.2,5.5,2.8,2.4,2.3,2.6333333333333333,0.2081665999465953,2.65,0.2880972058177766,2.5749999999999997,0.6311965548932403,2,3,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203
2.3,1198.0,9.3,953.0,131.0,882.0,105.0,1588.0,1019.0,13.2,56.0,0.8446,1.5,1.1,6.2,4.9,2.7,2.8,2.4,2.5999999999999996,0.2645751311064457,2.6,0.3224903099319587,2.425,0.4114829058638841,2,3,20,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001
1.5,1060.0,5.5,787.0,81.0,1044.0,91.0,1418.0,833.0,12.6,57.0,0.8315,1.4,0.9,4.6,2.5,2.3,2.7,2.8,2.1666666666666665,0.6110100926607767,2.3333333333333335,0.4589843860815741,2.3666666666666667,0.4886592665527617,2,3,21,0.9749279121818236,-0.2225209339563143,-0.7071067811865477,0.7071067811865474
1.4,1050.0,5.1,769.0,60.0,1078.0,79.0,1409.0,759.0,12.3,57.8,0.8224,1.2,0.7,2.8,2.0,1.5,2.3,2.7,1.7333333333333332,0.4932882862316267,2.183333333333333,0.5980523945831843,2.3416666666666663,0.5316498049952801,2,3,22,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384
1.2,1029.0,4.8,754.0,57.0,1098.0,79.0,1395.0,749.0,12.0,58.4,0.8164,1.6,0.9,1.6,2.0,1.4,1.5,2.3,1.3666666666666665,0.1527525231652135,1.9833333333333336,0.7026141662866486,2.283333333333333,0.6161955612441344,2,3,23,0.9749279121818236,-0.2225209339563143,-0.2588190451025215,0.965925826289068
1.6,1143.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593,1.2,1.7,1.7,2.0,1.2,1.4,1.5,1.4,0.2000000000000135,1.7833333333333332,0.584522597225021,2.1750000000000003,0.6121868401662447,3,4,0,0.4338837391175582,-0.900968867902419,0.0,1.0
1.2,1044.0,5.1,770.0,85.0,1031.0,70.0,1425.0,944.0,11.5,63.9,0.8652,1.1,4.2,1.7,1.3,1.6,1.2,1.4,1.3333333333333333,0.2309401076758635,1.5333333333333332,0.4082482904638867,2.0916666666666663,0.6734690832255108,3,4,1,0.4338837391175582,-0.900968867902419,0.2588190451025207,0.9659258262890684
1.1,1034.0,4.1,716.0,50.0,1085.0,55.0,1405.0,891.0,10.7,67.2,0.863,0.9,6.2,1.7,1.0,1.2,1.6,1.2,1.3,0.2645751311064712,1.3333333333333333,0.1966384160500885,1.9666666666666663,0.7088189066498198,3,4,2,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387
0.9,956.0,4.0,713.0,50.0,1099.0,55.0,1422.0,849.0,9.0,73.1,0.8394,0.7,4.6,1.9,0.9,1.1,1.2,1.6,1.0666666666666669,0.1527525231652237,1.2333333333333332,0.2422120283278445,1.7833333333333332,0.6726248898340336,3,4,3,0.4338837391175582,-0.900968867902419,0.7071067811865475,0.7071067811865476
0.7,909.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299,0.9,2.8,2.3,0.9,0.9,1.1,1.2,0.9,0.2000000000000267,1.1166666666666667,0.306050104830385,1.6499999999999997,0.7179516316957212,3,4,4,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001
0.9,996.0,2.9,648.0,64.0,1176.0,50.0,1340.0,852.0,11.0,63.7,0.8325,1.7,1.6,3.3,0.7,0.7,0.9,1.1,0.8333333333333334,0.1154700538379744,1.0666666666666669,0.3141125063837638,1.5249999999999997,0.7059809423129592,3,4,5,0.4338837391175582,-0.900968867902419,0.9659258262890684,0.2588190451025207
1.7,1154.0,7.4,876.0,153.0,1002.0,67.0,1561.0,987.0,9.6,68.8,0.8243,4.2,1.7,4.2,1.1,0.9,0.7,0.9,1.1,0.5291502622129262,1.0833333333333333,0.3488074922743057,1.4333333333333331,0.5867217604984726,3,4,6,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17
4.2,1510.0,19.8,1291.0,342.0,675.0,94.0,1949.0,1435.0,9.5,69.6,0.8273,6.2,1.7,5.5,2.6,1.7,0.9,0.7,2.2666666666666666,1.721433511156713,1.5833333333333333,1.3272779161376436,1.5583333333333331,0.936587940183394,3,4,7,0.4338837391175582,-0.900968867902419,0.9659258262890684,-0.2588190451025206
6.2,1722.0,31.9,1595.0,378.0,539.0,119.0,2439.0,1798.0,11.9,60.9,0.8455,4.6,1.7,4.9,3.9,4.2,1.7,0.9,4.033333333333334,2.2546248764114414,2.4333333333333336,2.2606783642673896,1.883333333333333,1.6341989048478964,3,4,8,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998
4.6,1512.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1677.0,16.2,48.6,0.8892,2.8,1.9,2.5,5.0,6.2,4.2,1.7,5.0,1.0583005244258183,3.0500000000000003,2.2634045153264157,2.141666666666666,1.80426682834851,3,4,9,0.4338837391175582,-0.900968867902419,0.7071067811865476,-0.7071067811865475
2.8,1258.0,11.7,1040.0,192.0,800.0,113.0,1701.0,1282.0,19.2,39.6,0.8693,1.6,2.3,2.0,3.3,4.6,6.2,4.2,4.533333333333333,1.7009801096230674,3.4,1.9707866449720024,2.2583333333333333,1.797198999116193,3,4,10,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387
1.6,1094.0,6.8,850.0,130.0,970.0,88.0,1489.0,871.0,19.7,38.4,0.8743,1.7,3.3,2.0,2.9,2.8,4.6,6.2,3.0,1.5099668870541465,3.516666666666666,1.8071155653877449,2.2916666666666665,1.7794066086164462,3,4,11,0.4338837391175582,-0.900968867902419,0.258819045102521,-0.9659258262890682
1.7,1129.0,7.4,875.0,106.0,974.0,73.0,1524.0,759.0,20.6,36.7,0.8797,1.7,4.2,2.0,3.1,1.6,2.8,4.6,2.033333333333333,0.6658328118479412,3.516666666666666,1.8071155653877449,2.3,1.77610401005838,3,4,12,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0
1.7,1125.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771,1.7,5.5,1.3,3.0,1.7,1.6,2.8,1.6666666666666667,0.0577350269190268,3.1,1.9036806454865285,2.3416666666666663,1.753675793263621,3,4,13,0.4338837391175582,-0.900968867902419,-0.2588190451025208,-0.9659258262890684
1.7,1125.0,8.6,924.0,99.0,937.0,72.0,1542.0,790.0,21.8,33.9,0.8771,1.9,4.9,1.0,2.7,1.7,1.7,1.6,1.7,0.0,2.35,1.1912178642045343,2.391666666666666,1.723346814319232,3,4,14,0.4338837391175582,-0.900968867902419,-0.4999999999999998,-0.8660254037844388
1.9,1125.0,8.6,924.0,108.0,937.0,81.0,1542.0,790.0,21.8,33.9,0.8771,2.3,2.5,0.9,2.7,1.7,1.7,1.7,1.7666666666666666,0.1154700538379517,1.9,0.4516635916254675,2.475,1.6679464783216091,3,4,15,0.4338837391175582,-0.900968867902419,-0.7071067811865471,-0.7071067811865479
2.3,1125.0,8.6,924.0,131.0,937.0,93.0,1542.0,790.0,21.8,33.9,0.8771,3.3,2.0,0.9,2.6,1.9,1.7,1.7,1.9666666666666668,0.3055050463303952,1.8166666666666664,0.2562550812504693,2.608333333333333,1.5744888540460218,3,4,16,0.4338837391175582,-0.900968867902419,-0.8660254037844384,-0.5000000000000004
3.3,1308.0,16.4,1193.0,163.0,793.0,106.0,1193.0,1187.0,23.6,27.5,0.7913,4.2,2.0,0.7,3.7,2.3,1.9,1.7,2.5,0.7211102550927957,2.1,0.6324555320336879,2.808333333333333,1.4878039541756198,3,4,17,0.4338837391175582,-0.900968867902419,-0.9659258262890684,-0.2588190451025206
4.2,1529.0,21.2,1331.0,211.0,700.0,132.0,2028.0,1399.0,22.8,32.1,0.8814,5.5,2.0,1.1,4.5,3.3,2.3,1.9,3.266666666666667,0.9504384952922104,2.516666666666666,1.020620726159663,3.016666666666666,1.4935213626212598,3,4,18,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210294e-16
5.5,1592.0,25.0,1429.0,267.0,624.0,164.0,2089.0,1644.0,20.8,36.7,0.8878,4.9,1.3,2.6,4.7,4.2,3.3,2.3,4.333333333333333,1.1060440015357924,3.15,1.4855975228843123,3.125,1.6282310535167814,3,4,19,0.4338837391175582,-0.900968867902419,-0.9659258262890684,0.2588190451025203
4.9,1536.0,20.2,1302.0,269.0,666.0,161.0,1922.0,1599.0,18.3,40.9,0.8493,2.5,1.0,3.9,5.5,5.5,4.2,3.3,4.866666666666666,0.6506407098647461,3.6833333333333336,1.4344569239495013,3.016666666666666,1.4370635042166784,3,4,20,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001
2.5,1192.0,10.8,1007.0,154.0,827.0,124.0,1604.0,1223.0,16.8,44.0,0.8341,2.0,0.9,5.0,3.0,4.9,5.5,4.2,4.3,1.5874507866387468,3.783333333333333,1.2998717885494186,2.8416666666666663,1.3520747244905011,3,4,21,0.4338837391175582,-0.900968867902419,-0.7071067811865477,0.7071067811865474
2.0,1186.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569,2.0,0.9,3.3,1.9,2.5,4.9,5.5,3.1333333333333333,1.550268793897796,3.733333333333334,1.3721030087667123,2.775,1.37386316640341,3,4,22,0.4338837391175582,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2.0,1203.0,8.5,920.0,122.0,898.0,103.0,1529.0,1118.0,14.9,52.0,0.8757,2.0,0.7,2.9,2.3,2.0,2.5,4.9,2.1666666666666665,0.2886751345948282,3.516666666666667,1.5458546719102244,2.8083333333333336,1.3473599325639722,3,4,23,0.4338837391175582,-0.900968867902419,-0.2588190451025215,0.965925826289068
2.0,1139.0,8.0,899.0,126.0,921.0,104.0,1514.0,1067.0,14.1,54.4,0.8701,1.3,1.1,3.1,1.6,2.0,2.0,2.5,2.0,0.0,3.1500000000000004,1.6109003693587027,2.8333333333333335,1.3275632724748927,4,4,0,-0.433883739117558,-0.9009688679024191,0.0,1.0
1.3,1072.0,5.6,795.0,84.0,986.0,93.0,1442.0,1048.0,13.3,58.8,0.8922,1.0,2.6,3.0,1.3,2.0,2.0,2.0,1.7666666666666666,0.4041451884327567,2.45,1.2597618822618877,2.8000000000000003,1.3631514289255695,4,4,1,-0.433883739117558,-0.9009688679024191,0.2588190451025207,0.9659258262890684
1.0,954.0,3.2,667.0,58.0,1180.0,60.0,1350.0,718.0,13.3,60.9,0.9229,0.9,3.9,2.7,1.2,1.3,2.0,2.0,1.4333333333333331,0.5131601439447083,1.8,0.5477225575051854,2.7416666666666667,1.4279408781581804,4,4,2,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387
0.9,951.0,3.3,673.0,58.0,1137.0,60.0,1381.0,797.0,11.8,64.3,0.8869,0.9,5.0,2.7,0.9,1.0,1.3,2.0,1.0666666666666669,0.2081665999466762,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,3,-0.433883739117558,-0.9009688679024191,0.7071067811865475,0.7071067811865476
0.9,926.0,2.8,638.0,37.0,1195.0,52.0,1342.0,749.0,11.2,65.9,0.8775,0.7,3.3,2.6,0.8,0.9,1.0,1.3,1.0666666666666669,0.2081665999466762,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,4,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
0.7,968.0,2.6,628.0,56.0,1197.0,66.0,1372.0,737.0,11.3,72.9,0.9738,1.1,2.9,3.7,0.8,0.9,0.9,1.0,1.0666666666666669,0.2081665999466762,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,5,-0.433883739117558,-0.9009688679024191,0.9659258262890684,0.2588190451025207
1.1,1067.0,4.3,727.0,91.0,1055.0,82.0,1448.0,903.0,11.4,71.8,0.9671,2.6,3.1,4.5,0.9,0.7,0.9,0.9,1.0666666666666669,0.2081665999466762,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,6,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2.6,1386.0,13.0,1083.0,159.0,798.0,109.0,1833.0,1159.0,11.9,73.7,1.0254,3.9,3.0,4.7,2.0,1.1,0.7,0.9,1.4666666666666668,1.0016652800877912,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,7,-0.433883739117558,-0.9009688679024191,0.9659258262890684,-0.2588190451025206
3.9,1474.0,20.3,1306.0,190.0,634.0,114.0,2060.0,1365.0,12.6,70.2,1.0221,5.0,2.7,5.5,3.0,2.6,1.1,0.7,2.533333333333333,1.401189970465581,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,8,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
5.0,1569.0,20.7,1316.0,249.0,634.0,139.0,2054.0,1510.0,13.6,65.3,1.0136,3.3,2.7,3.0,3.1,3.9,2.6,1.1,3.8333333333333335,1.2013880860626658,1.5333333333333334,0.5278888771954671,2.658333333333333,1.5084358746326578,4,4,9,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475
3.3,1375.0,15.9,1177.0,196.0,706.0,127.0,1898.0,1386.0,16.9,52.3,1.0013,2.9,2.6,1.9,3.1,5.0,3.9,2.6,4.066666666666666,0.8621678104251581,2.766666666666667,1.6512621435334474,2.658333333333333,1.5084358746326578,4,4,10,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387
2.9,1328.0,14.2,1123.0,180.0,738.0,127.0,1821.0,1368.0,19.4,44.1,0.9855,3.1,3.7,2.3,3.1,3.3,5.0,3.9,3.733333333333333,1.1150485789118412,3.1333333333333333,1.3094528119282005,2.658333333333333,1.5084358746326578,4,4,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682
3.1,1341.0,15.9,1176.0,167.0,748.0,135.0,1825.0,1347.0,22.9,33.8,0.9322,3.0,4.5,1.6,3.1,2.9,3.3,5.0,3.1,0.1999999999999818,3.4666666666666663,0.8687155268939694,2.658333333333333,1.5084358746326578,4,4,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
3.0,1297.0,16.1,1183.0,159.0,765.0,130.0,1773.0,1242.0,23.6,31.3,0.9001,2.7,4.7,1.3,3.1,3.1,2.9,3.3,3.0,0.0999999999999713,3.5333333333333337,0.8016649341630616,2.658333333333333,1.5084358746326578,4,4,13,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890684
2.7,1303.0,14.7,1139.0,152.0,790.0,126.0,1761.0,1138.0,24.7,30.5,0.9371,2.7,5.5,1.2,3.1,3.0,3.1,2.9,2.9333333333333336,0.2081665999466018,3.3333333333333335,0.8406346808612339,2.658333333333333,1.5084358746326578,4,4,14,-0.433883739117558,-0.9009688679024191,-0.4999999999999998,-0.8660254037844388
2.7,1281.0,14.0,1116.0,149.0,809.0,121.0,1703.0,1080.0,26.1,27.3,0.9101,2.6,3.0,0.9,3.1,2.7,3.0,3.1,2.8000000000000003,0.1732050807568797,2.9499999999999997,0.2345207879911863,2.658333333333333,1.5084358746326578,4,4,15,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479
2.6,1248.0,13.6,1103.0,143.0,872.0,122.0,1632.0,1002.0,27.6,22.8,0.8288,3.7,1.9,0.8,3.1,2.7,2.7,3.0,2.6666666666666665,0.0577350269189564,2.8333333333333335,0.1966384160500567,2.7999999999999994,1.121687041104524,4,4,16,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004
3.7,1382.0,19.7,1288.0,185.0,778.0,138.0,1799.0,1212.0,26.9,22.3,0.7792,4.5,2.3,0.8,3.1,2.6,2.7,2.7,3.0,0.6082762530298175,2.966666666666667,0.4082482904638714,3.0500000000000003,0.9288311325140196,4,4,17,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,-0.2588190451025206
4.5,1491.0,23.3,1385.0,223.0,685.0,165.0,1915.0,1486.0,24.3,30.1,0.9012,4.7,1.6,0.9,3.1,3.7,2.6,2.7,3.6,0.953939201416938,3.2000000000000006,0.7536577472566734,3.3333333333333335,0.7877855422677319,4,4,18,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16
4.7,1620.0,24.1,1407.0,215.0,641.0,154.0,2052.0,1567.0,21.2,40.1,0.9978,5.5,1.3,2.0,3.1,4.5,3.7,2.6,4.3,0.5291502622128946,3.483333333333334,0.9558591249063152,3.5083333333333333,0.8414903805784499,4,4,19,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203
5.5,1693.0,25.4,1439.0,271.0,618.0,168.0,2083.0,1723.0,19.4,42.5,0.9483,3.0,1.2,3.0,3.1,4.7,4.5,3.7,4.8999999999999995,0.5291502622128862,3.9500000000000006,1.1588787684654482,3.641666666666667,1.0175356445249433,4,4,20,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001
3.0,1374.0,14.1,1121.0,180.0,771.0,146.0,1685.0,1399.0,18.5,43.0,0.9074,1.9,0.9,3.1,3.1,5.5,4.7,4.5,4.3999999999999995,1.27671453348036,4.0,1.099090533122724,3.475,0.9352928564213088,4,4,21,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474
1.9,1287.0,10.1,982.0,115.0,841.0,124.0,1582.0,1291.0,17.8,47.0,0.9467,2.3,0.8,3.1,3.1,3.0,5.5,4.7,3.466666666666667,1.8448125469362249,3.8833333333333337,1.2967909109284588,3.358333333333333,1.0405054133215834,4,4,22,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2.3,1408.0,12.1,1052.0,149.0,761.0,124.0,1684.0,1443.0,16.8,53.2,1.01,1.6,0.8,3.1,3.1,1.9,3.0,5.5,2.4,0.5567764362830033,3.65,1.4529280780547942,3.308333333333333,1.0782631938221388,4,4,23,-0.433883739117558,-0.9009688679024191,-0.2588190451025215,0.965925826289068
1.6,1254.0,9.0,941.0,98.0,828.0,106.0,1566.0,1270.0,17.1,51.8,0.999,1.3,0.9,3.1,3.1,2.3,1.9,3.0,1.933333333333333,0.3511884584284351,3.1666666666666665,1.5895492023421829,3.183333333333333,1.1861575346342916,5,4,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
1.3,1141.0,6.3,827.0,73.0,936.0,88.0,1488.0,1110.0,16.2,54.2,0.9933,1.2,2.0,3.1,3.1,1.6,2.3,1.9,1.7333333333333332,0.5131601439446983,2.6,1.5388307249337108,3.041666666666666,1.3055534064027028,5,4,1,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684
