CO(GT),NOx(GT),NO2(GT),C6H6(GT)
1.9,96.0,93.0,6.7
1.6,77.0,83.0,6.0
1.0,77.0,83.0,2.7
1.0,63.0,69.0,3.6
1.2,97.0,77.0,5.4
2.0,180.0,87.0,10.0
4.5,352.0,109.0,23.2
4.1,279.0,116.0,18.7
2.6,186.0,105.0,9.9
2.3,169.0,106.0,10.2
2.6,172.0,108.0,11.0
2.4,127.0,100.0,10.5
4.3,230.0,149.0,18.9
4.6,280.0,148.0,18.9
4.0,242.0,126.0,17.5
4.7,250.0,140.0,17.7
5.7,309.0,142.0,23.0
5.2,270.0,141.0,20.4
6.4,323.0,149.0,26.8
6.0,307.0,140.0,19.9
3.4,224.0,117.0,12.5
2.7,166.0,103.0,9.6
3.1,171.0,99.0,10.0
2.6,169.0,100.0,8.1
2.2,120.0,88.0,7.1
1.9,103.0,83.0,6.4
1.9,103.0,83.0,5.1
1.9,103.0,83.0,3.0
1.9,103.0,83.0,4.2
1.9,103.0,83.0,5.1
1.9,103.0,83.0,8.1
1.9,103.0,83.0,8.8
1.9,103.0,83.0,7.2
1.9,103.0,83.0,9.2
1.9,103.0,83.0,6.0
1.9,103.0,83.0,5.0
1.9,103.0,83.0,7.5
1.9,103.0,83.0,3.9
1.9,103.0,83.0,5.0
1.9,103.0,83.0,5.4
1.9,103.0,83.0,5.0
1.9,103.0,83.0,5.5
1.9,103.0,83.0,7.8
1.9,103.0,83.0,8.2
1.9,103.0,83.0,5.3
1.9,103.0,83.0,7.9
1.9,103.0,83.0,10.7
1.9,103.0,83.0,6.9
1.9,103.0,83.0,6.3
1.9,103.0,83.0,5.6
1.9,103.0,83.0,5.4
1.9,103.0,83.0,3.2
1.9,103.0,83.0,1.9
1.9,103.0,83.0,2.3
1.9,103.0,83.0,2.4
1.9,103.0,83.0,2.9
1.9,103.0,83.0,4.2
1.9,103.0,83.0,6.8
1.9,103.0,83.0,7.3
1.9,103.0,83.0,5.3
1.9,103.0,83.0,3.4
1.9,103.0,83.0,3.4
1.9,103.0,83.0,6.8
1.9,103.0,83.0,7.0
1.9,103.0,83.0,7.7
1.9,103.0,83.0,8.5
1.9,103.0,83.0,13.5
1.9,103.0,83.0,9.2
1.9,103.0,83.0,8.7
1.9,103.0,83.0,6.6
1.9,103.0,83.0,9.1
1.9,103.0,83.0,7.8
1.9,103.0,83.0,4.2
1.9,103.0,83.0,3.4
1.9,103.0,83.0,1.7
1.9,103.0,83.0,2.1
1.9,103.0,83.0,2.2
1.9,103.0,83.0,6.9
1.9,103.0,83.0,16.5
1.9,103.0,83.0,18.7
1.9,103.0,83.0,8.5
1.9,103.0,83.0,6.8
1.9,103.0,83.0,7.5
1.9,103.0,83.0,10.9
1.9,103.0,83.0,13.4
1.9,103.0,83.0,7.9
1.9,103.0,83.0,8.8
1.9,103.0,83.0,11.5
1.9,103.0,83.0,11.8
1.9,103.0,83.0,8.3
1.9,103.0,83.0,7.9
1.9,103.0,83.0,6.7
1.9,103.0,83.0,4.6
1.9,103.0,83.0,5.0
1.9,103.0,83.0,5.3
1.9,103.0,83.0,3.9
1.9,103.0,83.0,2.9
1.9,103.0,83.0,1.5
1.9,103.0,83.0,0.8
1.9,103.0,83.0,1.2
1.9,103.0,83.0,2.9
1.9,103.0,83.0,7.6
1.9,103.0,83.0,20.7
1.9,103.0,83.0,29.9
1.9,103.0,83.0,20.1
1.9,103.0,83.0,17.1
1.9,103.0,83.0,19.4
1.9,103.0,83.0,18.7
1.9,103.0,83.0,15.8
1.9,103.0,83.0,10.3
1.9,103.0,83.0,7.9
1.9,103.0,83.0,13.7
1.9,103.0,83.0,19.7
1.9,103.0,83.0,25.3
1.9,103.0,83.0,23.9
1.9,103.0,83.0,20.6
1.9,103.0,83.0,12.3
1.9,103.0,83.0,7.7
1.9,103.0,83.0,9.0
1.9,103.0,83.0,4.5
1.9,103.0,83.0,5.8
1.9,103.0,83.0,3.2
1.9,103.0,83.0,3.0
1.9,103.0,83.0,2.0
1.9,103.0,83.0,3.7
1.9,103.0,83.0,8.7
1.9,103.0,83.0,27.0
1.9,103.0,83.0,40.3
1.9,103.0,83.0,20.0
1.9,103.0,83.0,17.1
1.9,103.0,83.0,11.0
1.9,103.0,83.0,10.6
1.9,103.0,83.0,10.5
1.9,103.0,83.0,9.6
1.9,103.0,83.0,9.3
1.9,103.0,83.0,12.7
1.9,103.0,83.0,19.8
1.9,103.0,83.0,32.5
1.9,103.0,83.0,33.6
1.9,103.0,83.0,26.0
1.9,103.0,83.0,16.4
1.9,103.0,83.0,10.6
1.9,103.0,83.0,7.1
1.9,103.0,83.0,6.4
1.9,103.0,83.0,4.6
1.9,103.0,83.0,3.0
1.9,103.0,83.0,2.2
1.9,103.0,83.0,1.7
1.9,103.0,83.0,2.2
1.9,103.0,83.0,5.7
1.9,103.0,83.0,13.8
1.9,103.0,83.0,21.6
1.9,103.0,83.0,26.1
1.9,103.0,83.0,20.1
1.9,103.0,83.0,15.4
1.9,103.0,83.0,13.6
1.9,103.0,83.0,11.1
1.9,103.0,83.0,12.2
1.9,103.0,83.0,17.5
1.9,103.0,83.0,19.1
1.9,103.0,83.0,27.1
1.9,103.0,83.0,28.3
1.9,103.0,83.0,35.0
1.9,103.0,83.0,22.4
1.9,103.0,83.0,13.5
1.9,103.0,83.0,8.2
1.9,103.0,83.0,7.8
1.9,103.0,83.0,10.0
1.9,103.0,83.0,6.6
1.9,103.0,83.0,3.4
1.9,103.0,83.0,2.8
1.9,103.0,83.0,2.3
0.6,59.0,59.0,2.9
0.8,72.0,67.0,4.9
4.0,244.0,95.0,22.6
5.6,351.0,123.0,31.1
5.0,358.0,142.0,22.1
3.2,245.0,142.0,18.3
3.8,240.0,169.0,22.0
3.3,179.0,142.0,20.1
3.0,160.0,136.0,18.9
3.2,174.0,147.0,20.6
4.4,260.0,196.0,25.3
4.6,281.0,186.0,25.8
5.2,284.0,177.0,30.6
4.8,250.0,164.0,27.1
5.6,281.0,161.0,32.5
4.6,230.0,146.0,20.8
1.8,98.0,98.0,10.9
2.2,121.0,108.0,13.0
2.0,110.0,107.0,11.8
2.8,161.0,113.0,13.4
2.6,148.0,100.0,13.4
1.8,109.0,87.0,9.0
1.1,109.0,87.0,5.8
1.1,45.0,60.0,3.8
0.7,71.0,65.0,3.7
0.9,75.0,64.0,5.7
1.5,106.0,73.0,10.0
2.5,166.0,86.0,15.0
3.0,188.0,105.0,15.6
2.6,161.0,107.0,12.3
2.6,139.0,114.0,14.4
2.6,134.0,105.0,14.6
1.9,84.0,74.0,8.7
2.0,98.0,95.0,11.0
1.7,91.0,89.0,9.0
1.9,99.0,95.0,10.7
1.8,90.0,93.0,9.9
2.8,147.0,123.0,15.7
3.5,177.0,134.0,19.4
3.4,162.0,126.0,16.8
2.0,88.0,79.0,6.8
1.1,53.0,54.0,3.0
1.3,68.0,69.0,3.2
1.2,61.0,67.0,3.1
1.3,71.0,73.0,3.9
1.0,63.0,73.0,3.6
1.3,63.0,73.0,4.5
1.3,23.0,33.0,1.2
0.3,14.0,20.0,0.7
0.5,34.0,37.0,1.1
0.6,42.0,50.0,1.4
0.6,40.0,45.0,1.6
0.8,48.0,48.0,2.3
1.0,61.0,56.0,2.5
0.9,58.0,58.0,2.7
1.0,57.0,52.0,2.7
0.8,54.0,52.0,2.2
0.7,41.0,44.0,2.0
0.9,57.0,59.0,3.4
1.3,83.0,74.0,4.5
1.4,81.0,76.0,4.7
1.5,98.0,83.0,6.0
2.7,124.0,100.0,11.7
2.5,133.0,101.0,8.2
1.4,100.0,90.0,5.1
2.8,116.0,93.0,13.0
2.1,102.0,79.0,7.0
1.1,55.0,57.0,3.9
0.7,33.0,43.0,2.2
0.4,17.0,25.0,1.3
0.3,17.0,25.0,0.8
0.3,10.0,17.0,0.6
0.4,35.0,44.0,1.2
0.8,70.0,72.0,3.4
1.9,116.0,91.0,7.5
2.1,134.0,89.0,8.9
1.4,113.0,84.0,5.3
1.4,110.0,83.0,5.4
1.3,98.0,78.0,5.2
1.5,96.0,80.0,6.6
1.6,95.0,75.0,6.9
1.3,86.0,77.0,5.4
1.4,86.0,77.0,6.0
1.5,91.0,81.0,6.4
2.2,119.0,101.0,10.7
3.2,147.0,119.0,13.9
3.0,135.0,111.0,12.5
2.6,124.0,109.0,9.3
1.6,89.0,101.0,6.7
1.5,79.0,89.0,5.3
1.2,63.0,75.0,4.0
0.8,39.0,51.0,2.2
0.7,25.0,39.0,1.7
0.5,19.0,32.0,1.6
0.5,19.0,32.0,1.5
0.5,34.0,49.0,2.5
0.7,58.0,68.0,3.3
1.4,112.0,76.0,8.9
4.1,314.0,122.0,23.4
4.6,240.0,129.0,23.8
1.9,128.0,94.0,7.9
1.9,141.0,99.0,8.2
1.7,118.0,81.0,8.8
2.4,132.0,87.0,14.6
3.0,150.0,107.0,18.0
2.0,121.0,95.0,12.0
2.7,149.0,110.0,14.8
2.2,120.0,99.0,12.5
2.9,155.0,113.0,15.5
3.4,172.0,127.0,17.7
3.9,177.0,131.0,21.6
3.6,181.0,137.0,18.9
2.5,135.0,122.0,12.5
1.8,99.0,100.0,8.8
2.0,111.0,108.0,10.9
1.3,72.0,83.0,8.0
1.0,54.0,74.0,4.4
0.6,41.0,64.0,2.8
0.6,41.0,64.0,2.7
0.6,24.0,40.0,2.2
0.5,29.0,39.0,2.5
1.1,76.0,69.0,7.5
5.5,321.0,104.0,30.4
4.2,274.0,100.0,22.0
4.6,322.0,146.0,24.7
3.4,255.0,155.0,18.4
2.8,196.0,139.0,16.8
2.5,136.0,121.0,14.2
2.4,119.0,108.0,15.7
3.2,169.0,126.0,21.9
3.5,197.0,145.0,20.8
2.9,140.0,121.0,16.2
3.6,178.0,145.0,19.8
4.8,223.0,160.0,28.9
5.4,222.0,155.0,28.3
5.3,265.0,162.0,24.9
2.7,151.0,129.0,13.1
1.4,79.0,96.0,8.6
1.6,87.0,92.0,9.5
1.5,88.0,89.0,7.8
1.0,51.0,61.0,5.2
0.6,34.0,54.0,2.8
0.4,34.0,54.0,2.3
0.4,31.0,44.0,2.5
0.8,76.0,57.0,4.4
1.5,139.0,68.0,9.4
4.9,293.0,95.0,29.8
7.2,368.0,125.0,36.2
3.5,250.0,135.0,18.0
2.1,145.0,118.0,10.9
1.5,110.0,91.0,9.0
2.0,104.0,89.0,14.4
3.8,205.0,129.0,22.3
3.4,201.0,122.0,20.9
4.4,266.0,138.0,23.1
3.9,246.0,136.0,21.2
4.9,247.0,143.0,24.8
5.4,271.0,145.0,28.6
6.5,332.0,146.0,32.6
4.3,245.0,122.0,19.2
2.9,180.0,112.0,16.3
2.7,156.0,102.0,13.7
2.8,172.0,97.0,13.6
2.3,137.0,85.0,11.1
1.7,91.0,76.0,7.6
1.2,80.0,74.0,5.9
1.0,80.0,74.0,5.0
1.0,46.0,56.0,4.0
0.8,68.0,66.0,4.5
1.7,162.0,90.0,9.3
3.0,213.0,111.0,18.3
3.4,161.0,103.0,19.9
3.3,209.0,117.0,16.6
2.7,191.0,116.0,12.6
2.6,215.0,109.0,12.9
3.2,212.0,116.0,14.9
3.4,202.0,115.0,17.4
2.6,153.0,94.0,15.4
3.4,185.0,121.0,16.7
4.0,210.0,114.0,18.0
4.5,215.0,110.0,19.2
4.2,215.0,122.0,21.0
5.7,281.0,135.0,26.9
4.4,254.0,133.0,19.5
3.1,189.0,110.0,15.1
3.0,174.0,102.0,14.6
3.1,167.0,108.0,13.7
3.5,185.0,110.0,15.2
2.4,129.0,84.0,9.3
1.6,85.0,71.0,6.5
1.3,85.0,71.0,6.3
1.3,35.0,42.0,3.5
0.6,24.0,32.0,2.6
0.7,30.0,35.0,3.1
1.2,75.0,67.0,6.5
1.5,79.0,73.0,6.5
1.8,104.0,86.0,8.8
2.1,118.0,89.0,8.8
1.9,105.0,86.0,9.2
2.0,101.0,86.0,9.2
1.3,65.0,66.0,6.1
1.3,59.0,68.0,6.5
1.8,80.0,82.0,9.2
2.0,98.0,91.0,8.3
1.8,89.0,95.0,8.3
2.4,114.0,104.0,11.0
4.0,195.0,131.0,14.7
2.8,156.0,112.0,10.8
2.0,109.0,100.0,9.4
3.6,184.0,115.0,14.8
3.7,190.0,129.0,13.3
2.3,105.0,99.0,8.4
1.8,76.0,74.0,7.9
0.9,38.0,55.0,5.5
1.6,38.0,55.0,6.6
1.6,26.0,35.0,3.3
0.6,33.0,37.0,2.6
0.7,57.0,45.0,3.6
0.8,48.0,46.0,4.8
1.2,87.0,68.0,5.9
1.4,94.0,77.0,6.9
1.6,89.0,79.0,8.5
1.3,78.0,72.0,6.1
1.3,72.0,68.0,6.2
1.1,64.0,64.0,4.8
1.2,70.0,73.0,6.8
1.5,92.0,84.0,7.0
1.1,69.0,67.0,5.5
1.9,131.0,106.0,9.5
2.3,144.0,114.0,11.9
3.3,209.0,123.0,13.8
2.6,170.0,108.0,10.7
2.2,152.0,100.0,9.7
2.3,171.0,118.0,10.2
2.0,153.0,121.0,8.3
1.6,97.0,94.0,7.1
0.8,37.0,52.0,3.0
0.6,26.0,39.0,2.2
0.4,26.0,39.0,1.7
0.4,25.0,33.0,1.5
0.7,61.0,57.0,3.7
1.3,152.0,80.0,8.2
3.4,283.0,101.0,21.1
4.7,320.0,109.0,26.5
3.4,318.0,109.0,17.4
2.5,201.0,111.0,12.9
2.0,135.0,102.0,10.9
1.9,127.0,96.0,11.0
1.7,102.0,90.0,10.8
1.4,74.0,69.0,10.0
1.5,81.0,74.0,11.2
2.4,129.0,102.0,16.8
3.9,190.0,128.0,23.6
4.2,192.0,130.0,23.3
3.7,163.0,120.0,19.4
3.2,149.0,113.0,13.1
2.0,119.0,100.0,9.8
1.1,61.0,70.0,5.3
1.5,84.0,83.0,6.7
1.3,79.0,81.0,5.5
1.0,58.0,69.0,3.7
0.6,32.0,48.0,2.2
0.4,32.0,48.0,1.5
0.4,21.0,28.0,1.5
0.6,49.0,47.0,2.9
1.9,180.0,88.0,9.9
4.5,302.0,109.0,23.0
4.3,258.0,113.0,22.3
3.2,192.0,104.0,16.2
1.3,84.0,65.0,7.9
2.2,128.0,87.0,12.4
2.6,145.0,99.0,13.6
2.3,132.0,100.0,12.3
2.4,136.0,105.0,12.1
2.6,140.0,97.0,12.9
1.2,55.0,54.0,6.3
1.6,67.0,59.0,10.6
3.9,191.0,109.0,20.6
4.7,227.0,125.0,22.1
5.4,264.0,132.0,20.8
3.0,196.0,110.0,11.8
0.9,43.0,53.0,4.3
1.1,58.0,61.0,5.0
0.7,33.0,41.0,2.3
0.5,14.0,22.0,1.4
0.5,18.0,28.0,1.5
0.5,18.0,28.0,1.8
0.5,28.0,41.0,2.1
0.8,56.0,54.0,3.5
1.3,108.0,81.0,6.9
3.5,251.0,107.0,19.1
3.5,251.0,107.0,22.0
3.9,255.0,124.0,18.9
2.9,214.0,123.0,13.0
2.6,190.0,120.0,13.0
3.0,182.0,113.0,14.5
3.7,202.0,114.0,19.7
3.9,224.0,120.0,19.4
3.5,221.0,125.0,16.4
2.4,126.0,88.0,11.2
1.6,79.0,72.0,10.0
3.0,137.0,103.0,14.6
1.6,68.0,67.0,8.5
2.1,96.0,79.0,9.2
1.8,111.0,89.0,6.9
1.1,56.0,67.0,3.7
1.5,81.0,83.0,4.9
1.4,79.0,76.0,4.6
0.9,46.0,58.0,3.4
0.5,19.0,30.0,1.2
0.4,19.0,30.0,1.0
0.4,15.0,22.0,1.2
0.6,48.0,50.0,2.3
1.3,128.0,92.0,6.1
2.9,193.0,101.0,16.8
3.6,203.0,121.0,20.3
3.4,220.0,130.0,16.4
2.5,161.0,114.0,12.5
2.1,135.0,100.0,9.8
1.1,57.0,56.0,5.2
1.8,91.0,75.0,8.9
3.0,219.0,121.0,14.1
3.1,239.0,128.0,12.7
3.6,209.0,139.0,14.6
3.3,169.0,122.0,12.4
1.8,92.0,92.0,9.4
2.1,107.0,97.0,11.0
2.2,122.0,98.0,8.9
1.6,100.0,93.0,6.6
0.9,51.0,65.0,3.9
1.8,93.0,81.0,7.3
2.3,145.0,102.0,8.2
2.0,106.0,91.0,7.5
0.9,46.0,56.0,3.3
0.6,46.0,56.0,2.4
0.6,32.0,41.0,2.2
0.7,51.0,48.0,2.8
1.5,89.0,72.0,7.5
3.7,214.0,106.0,19.8
4.2,196.0,107.0,22.1
3.4,224.0,127.0,15.0
2.4,174.0,114.0,9.3
1.3,90.0,101.0,6.3
1.5,89.0,95.0,8.2
2.2,132.0,110.0,10.9
1.8,114.0,101.0,9.3
1.9,107.0,106.0,8.4
2.3,140.0,116.0,9.4
3.6,187.0,124.0,17.9
4.3,222.0,133.0,17.4
2.2,117.0,96.0,10.5
1.5,89.0,85.0,7.5
2.0,130.0,97.0,8.0
2.0,133.0,97.0,7.7
2.1,144.0,101.0,7.3
1.5,99.0,85.0,6.4
2.2,102.0,80.0,5.6
0.5,27.0,33.0,1.5
0.5,27.0,33.0,1.5
0.5,27.0,33.0,1.2
0.5,27.0,33.0,1.6
0.5,27.0,33.0,2.6
0.5,27.0,33.0,5.9
0.5,27.0,33.0,8.5
0.5,27.0,33.0,7.7
0.5,27.0,33.0,6.9
0.5,27.0,33.0,10.1
0.5,27.0,33.0,11.1
0.5,27.0,33.0,9.2
0.5,27.0,33.0,4.3
0.5,27.0,33.0,6.5
0.5,27.0,33.0,5.4
0.5,27.0,33.0,7.1
0.5,27.0,33.0,9.5
0.5,27.0,33.0,17.0
0.5,27.0,33.0,15.4
0.5,27.0,33.0,9.9
0.5,27.0,33.0,9.3
0.5,27.0,33.0,6.9
0.5,27.0,33.0,7.1
0.5,27.0,33.0,9.0
0.5,27.0,33.0,8.3
0.5,27.0,33.0,8.7
0.5,27.0,33.0,8.4
0.5,27.0,33.0,8.1
0.5,27.0,33.0,5.2
0.5,27.0,33.0,4.5
0.5,27.0,33.0,2.6
0.5,27.0,33.0,4.8
0.5,27.0,33.0,4.5
0.5,27.0,33.0,4.9
0.5,27.0,33.0,5.8
0.5,27.0,33.0,4.1
0.5,27.0,33.0,4.8
0.5,27.0,33.0,7.0
0.5,27.0,33.0,4.8
0.5,27.0,33.0,5.4
0.5,27.0,33.0,6.3
0.5,27.0,33.0,10.1
0.5,27.0,33.0,10.2
0.5,27.0,33.0,8.4
0.5,27.0,33.0,8.9
0.5,27.0,33.0,8.8
0.5,27.0,33.0,6.5
0.5,27.0,33.0,3.0
0.5,27.0,33.0,1.8
0.5,27.0,33.0,1.3
0.5,27.0,33.0,1.8
0.5,27.0,33.0,2.6
0.5,27.0,33.0,9.8
0.5,27.0,33.0,31.5
0.5,27.0,33.0,35.2
4.4,257.0,117.0,20.2
2.5,178.0,107.0,13.4
2.1,145.0,95.0,11.7
2.4,137.0,93.0,13.4
2.2,139.0,104.0,12.9
2.2,130.0,102.0,13.4
2.3,148.0,109.0,13.7
2.1,120.0,97.0,14.2
2.5,132.0,104.0,17.8
3.6,188.0,124.0,22.0
4.0,204.0,135.0,24.4
3.0,167.0,122.0,16.3
2.1,128.0,109.0,12.4
1.7,106.0,95.0,9.6
1.1,88.0,86.0,6.4
0.9,77.0,78.0,6.0
0.4,36.0,53.0,2.8
0.2,28.0,43.0,1.6
0.2,28.0,43.0,1.6
0.2,46.0,53.0,1.8
0.6,55.0,48.0,3.6
1.4,135.0,64.0,8.4
4.6,327.0,95.0,27.5
5.5,383.0,120.0,31.0
4.8,366.0,153.0,26.0
4.5,322.0,163.0,22.6
3.0,188.0,119.0,18.3
2.5,144.0,96.0,13.9
2.3,132.0,94.0,14.4
2.0,117.0,86.0,11.6
1.9,121.0,91.0,12.2
1.9,124.0,97.0,12.4
3.5,188.0,125.0,21.1
4.6,226.0,140.0,29.9
6.3,266.0,158.0,34.3
5.0,269.0,159.0,26.1
3.3,183.0,128.0,18.1
2.7,167.0,114.0,14.2
2.2,138.0,100.0,12.4
1.7,105.0,88.0,8.7
0.8,54.0,67.0,5.2
0.8,58.0,65.0,4.6
0.6,58.0,65.0,3.1
0.6,37.0,47.0,2.7
0.8,84.0,57.0,4.7
1.5,134.0,73.0,9.6
4.1,279.0,95.0,23.6
5.9,333.0,110.0,37.4
5.1,336.0,121.0,26.6
3.9,280.0,108.0,22.0
3.4,275.0,125.0,17.9
3.3,207.0,117.0,22.7
5.1,305.0,131.0,29.3
3.1,236.0,126.0,14.7
2.5,183.0,114.0,12.6
2.4,162.0,123.0,12.7
2.8,157.0,116.0,13.0
2.9,136.0,107.0,13.4
3.4,166.0,123.0,14.8
2.2,136.0,112.0,9.4
1.6,112.0,101.0,6.9
1.3,87.0,91.0,5.2
1.3,86.0,88.0,5.7
1.6,98.0,96.0,6.5
1.2,62.0,75.0,4.7
0.6,32.0,47.0,2.5
0.4,32.0,47.0,1.4
0.4,21.0,25.0,1.0
0.4,41.0,49.0,1.7
1.0,86.0,85.0,4.5
2.0,174.0,106.0,9.4
3.6,264.0,136.0,17.9
2.4,211.0,119.0,10.6
2.4,208.0,122.0,11.0
1.6,139.0,90.0,7.2
1.9,138.0,97.0,8.7
2.4,142.0,98.0,11.1
1.7,131.0,93.0,7.9
2.1,132.0,98.0,9.8
3.1,178.0,123.0,16.4
4.6,228.0,148.0,22.6
4.5,232.0,148.0,20.2
3.9,204.0,133.0,21.7
4.6,250.0,141.0,21.2
3.3,208.0,131.0,15.9
2.7,158.0,121.0,12.0
3.3,197.0,123.0,17.4
2.5,152.0,107.0,15.0
2.1,112.0,104.0,11.1
1.3,75.0,91.0,6.9
1.0,75.0,91.0,5.1
1.0,74.0,87.0,6.1
1.2,116.0,102.0,6.5
1.5,118.0,95.0,8.4
3.7,272.0,140.0,22.8
3.7,272.0,140.0,29.1
3.3,258.0,138.0,13.6
2.5,186.0,113.0,11.1
1.9,130.0,101.0,10.0
2.0,134.0,97.0,10.5
2.5,148.0,114.0,13.0
2.1,147.0,110.0,12.5
2.1,123.0,103.0,11.4
2.3,138.0,119.0,13.1
3.0,162.0,126.0,14.9
4.1,214.0,144.0,19.1
4.5,230.0,164.0,21.8
3.5,191.0,148.0,16.1
2.1,128.0,119.0,11.6
2.3,138.0,111.0,12.4
1.9,126.0,115.0,10.4
1.9,107.0,103.0,9.7
1.2,67.0,81.0,5.7
1.0,55.0,71.0,5.4
1.1,55.0,71.0,5.6
1.1,48.0,58.0,4.4
0.5,33.0,44.0,2.8
0.6,41.0,49.0,3.9
1.4,106.0,68.0,9.1
2.6,208.0,108.0,13.6
2.8,193.0,117.0,15.8
2.6,191.0,127.0,12.7
1.6,113.0,93.0,8.6
1.7,111.0,94.0,9.4
1.7,106.0,87.0,9.2
1.3,82.0,75.0,6.4
1.4,79.0,81.0,8.3
1.4,90.0,86.0,8.1
1.7,104.0,97.0,8.5
2.3,148.0,117.0,11.0
2.5,158.0,120.0,12.1
3.3,234.0,149.0,15.0
2.2,163.0,124.0,10.2
1.6,95.0,97.0,9.9
2.6,146.0,112.0,12.0
2.3,102.0,95.0,10.5
1.5,90.0,88.0,7.1
0.9,41.0,54.0,4.6
0.8,41.0,54.0,4.2
0.8,30.0,43.0,2.6
0.4,32.0,45.0,2.2
0.4,34.0,47.0,2.0
0.8,57.0,58.0,4.2
0.9,73.0,69.0,5.2
1.6,119.0,89.0,8.2
2.0,138.0,105.0,9.8
1.6,96.0,92.0,7.9
1.4,80.0,82.0,7.7
0.9,45.0,56.0,4.8
0.9,45.0,60.0,5.3
1.2,54.0,64.0,7.1
1.4,66.0,85.0,9.2
1.9,95.0,107.0,10.1
1.8,99.0,106.0,9.9
2.7,147.0,125.0,15.1
2.4,129.0,118.0,10.6
1.6,96.0,95.0,7.0
1.4,92.0,97.0,5.9
1.4,88.0,93.0,5.6
1.4,89.0,85.0,5.4
0.9,52.0,67.0,3.7
0.5,25.0,37.0,1.8
0.4,25.0,37.0,1.4
0.4,28.0,40.0,1.4
0.5,65.0,75.0,3.5
1.3,132.0,102.0,7.0
2.6,216.0,113.0,14.4
2.0,180.0,142.0,8.9
1.8,140.0,90.0,8.6
1.7,141.0,94.0,8.5
1.5,123.0,92.0,8.3
1.9,129.0,97.0,10.1
1.7,115.0,88.0,9.1
1.5,104.0,86.0,8.5
1.7,129.0,99.0,7.7
1.7,138.0,95.0,9.0
2.4,135.0,105.0,13.4
3.1,163.0,121.0,15.6
3.4,180.0,125.0,17.8
3.0,170.0,122.0,12.7
1.2,72.0,81.0,6.4
1.2,69.0,73.0,7.1
1.3,79.0,80.0,7.4
1.0,53.0,65.0,5.2
0.4,36.0,59.0,2.4
0.3,30.0,50.0,2.0
0.2,30.0,50.0,1.2
0.2,15.0,23.0,1.5
0.5,38.0,37.0,3.1
0.9,68.0,54.0,6.3
2.7,192.0,94.0,19.3
6.5,346.0,139.0,38.9
3.2,225.0,115.0,14.6
2.4,199.0,119.0,12.3
1.9,140.0,103.0,11.0
2.7,162.0,123.0,15.4
2.9,173.0,126.0,17.0
2.0,121.0,106.0,12.5
2.3,133.0,127.0,13.8
1.9,96.0,105.0,10.1
3.0,141.0,130.0,19.3
4.4,221.0,160.0,22.7
4.7,232.0,162.0,25.5
3.4,174.0,135.0,15.8
2.4,138.0,122.0,12.3
1.2,65.0,75.0,8.7
1.7,107.0,96.0,8.3
1.2,70.0,84.0,7.7
0.7,44.0,68.0,4.2
0.5,41.0,65.0,3.0
0.3,41.0,65.0,1.8
0.3,33.0,52.0,2.2
0.3,32.0,46.0,2.2
0.7,46.0,54.0,5.7
3.1,173.0,94.0,20.9
6.2,320.0,155.0,36.7
4.6,294.0,165.0,22.0
2.6,182.0,134.0,13.4
2.1,154.0,122.0,11.5
2.0,118.0,113.0,13.4
2.2,116.0,115.0,15.2
2.1,121.0,118.0,13.0
2.3,116.0,125.0,14.0
2.5,144.0,135.0,15.5
3.4,176.0,149.0,19.3
4.3,214.0,162.0,21.9
3.8,191.0,151.0,21.1
3.8,205.0,154.0,18.4
2.0,110.0,118.0,9.3
1.7,95.0,103.0,9.0
2.0,126.0,122.0,9.6
1.5,90.0,102.0,8.2
0.8,48.0,73.0,5.8
0.5,38.0,59.0,3.1
0.3,38.0,59.0,1.7
0.3,14.0,26.0,1.6
0.3,26.0,35.0,2.3
0.9,83.0,68.0,6.6
2.8,188.0,97.0,19.6
5.4,253.0,146.0,32.9
4.0,149.0,83.0,18.1
2.2,155.0,117.0,12.4
2.2,146.0,117.0,12.5
2.0,121.0,108.0,12.0
2.0,111.0,107.0,13.3
1.9,116.0,120.0,12.3
2.7,167.0,150.0,16.0
2.2,145.0,138.0,13.7
3.5,192.0,148.0,21.7
4.1,231.0,168.0,23.7
4.4,248.0,172.0,22.1
4.5,267.0,179.0,20.6
2.9,181.0,143.0,13.4
2.6,163.0,137.0,12.8
2.1,141.0,117.0,12.3
1.2,78.0,93.0,6.8
0.6,42.0,64.0,3.8
0.3,35.0,58.0,2.5
0.3,35.0,58.0,2.7
0.3,33.0,47.0,2.8
0.3,38.0,47.0,2.6
0.7,65.0,62.0,7.0
4.2,296.0,113.0,26.2
4.8,303.0,126.0,28.2
3.4,244.0,139.0,20.2
2.8,216.0,148.0,17.1
1.8,137.0,117.0,11.2
1.9,120.0,106.0,11.6
2.0,100.0,98.0,13.2
1.9,103.0,98.0,12.7
2.0,123.0,110.0,13.0
2.3,136.0,114.0,13.5
2.7,158.0,122.0,10.2
3.6,216.0,155.0,20.1
3.8,211.0,145.0,19.1
3.5,202.0,146.0,17.5
2.5,147.0,130.0,13.8
2.5,160.0,126.0,13.3
3.0,162.0,127.0,14.8
3.7,194.0,126.0,18.0
3.3,167.0,124.0,16.0
1.5,91.0,93.0,9.7
0.7,91.0,93.0,6.2
0.7,42.0,58.0,4.0
0.5,50.0,59.0,3.6
0.5,61.0,66.0,4.6
1.2,107.0,80.0,9.2
2.2,139.0,94.0,14.6
2.2,165.0,102.0,11.7
